卡片,下次複習,優先順序,出處/備註,學習順序,已掌握,正面（問題）,背面（答案）,複習次數,類別
規則優先順序：場館 vs TDA,2026年1月26日,場館規章優先,場館原則；TDA 導言（TDA 規則為補充，衝突以主辦方為準）,10,No,如果場館規章與 TDA 規則衝突，實務上應以哪個為準？,以場館規章／主辦方規則優先。TDA 作為補充參考；遇到未涵蓋或模糊情境，再用 TDA 的原則協助裁決。,0,規則判定
多顆籌碼下注（Multi-chip）判定：先看能不能拿掉最小顆,2026年1月26日,TDA補充,TDA Rule 45；教材第三章 6.2 加注條件第 2 點,110,No,面對跟注額時，玩家默默推出多顆籌碼，第一步怎麼判斷它是 call 還是可能 raise？,"先看：拿掉 1 顆最小面額籌碼後，剩下金額是否仍 ≥ 跟注額。
- 若拿掉後 < 跟注額 → 這次動作 視為跟注（call）
- 若拿掉後 ≥ 跟注額 → 進入 50% 規則判定是否為加注",0,下注/級距
短碼 All-in：什麼時候不會重新打開加注？,2026年1月26日,TDA補充,TDA Rule 47；教材第三章 6.3 口訣「增量 vs 級距」,125,No,短碼 all-in 造成的增量不足時，為什麼後面已行動過的玩家不能再加注？,"在 NL/PLO 中：短 all-in 的增量 < 本輪最後合法級距（最後合法加注增量）時，不會重新打開加注；已行動過的玩家回到行動時只能跟注或棄牌。
若多個短 all-in 的累積增量達到完整級距，才可能重新打開。",0,下注/級距
錯發常見判定（快速清單）,2026年1月26日,TDA補充,TDA Rule 35-A；教材第五章錯發條列,40,No,哪些情況常被判為錯發（Misdeal）？（舉 4 個例子）,"常見包含：
- 初始發牌有 2 張以上曝光
- 第一張發錯座位
- 發到無權拿牌的座位 或 漏發有權座位
- 任何玩家張數錯誤（特定例外除外）
- SA 前發現非標準牌（例如短牌出現 2–5）等",0,發牌/流程
錯發（Misdeal）何時不能宣告？,2026年1月26日,TDA補充,TDA Rule 35-D；教材第五章「有效行動後不能宣告錯發」,50,No,什麼情況下不能再宣告錯發（Misdeal）？,一旦SA 已發生，原則上就不能宣告錯發，牌局必須繼續進行（除非是牌堆問題/重複牌等 fouled deck 類型）。,0,發牌/流程
有效行動（SA）定義,2026年1月26日,TDA補充,TDA Rule 36；教材第五章「有效行動」段落,20,No,什麼是「有效行動 Substantial Action（SA）」？,"SA 任何一種成立：
- 按順序的 2 個行動，其中至少 1 個有籌碼進底池（不含 2 次 check 或 2 次 fold）
- 按順序的 3 個行動（check / bet / raise / call / fold 任意組合）
盲注不算 SA。",0,規則判定
50% 規則：不足最小加注怎麼判？,2026年1月26日,TDA補充,TDA Rule 43；教材第三章 6.2 口訣與範例,120,No,玩家加注不到最小加注，但已超過 50% 門檻時怎麼判？,"若玩家加注（增量）達到最小加注增量的 50%（含），判定有加注意圖，必須補足到最小加注。
若未達 50%，通常視為跟注（除非先宣告 raise / 或 all-in 等例外）。",0,下注/級距
單顆大籌碼（Overchip）面對下注怎麼算？,2026年1月26日,TDA補充,TDA Rule 44；教材第三章 6.1 推籌碼規則（單顆默認跟注）,100,No,面對下注或盲注時，玩家默默丟出 1 顆超過跟注額的大籌碼，沒說 raise，怎麼判？,"視為跟注（call）。
若要用 overchip 加注，必須在籌碼落桌前先清楚宣告 raise。",0,下注/級距
全下開牌：什麼時候要把牌翻開？,2026年1月26日,TDA補充,TDA Rule 16；教材 DAY5「All-in 攤牌時機」對應概念,160,No,TDA 規則下，何時必須把 all-in 相關玩家的手牌攤開？,當至少一位玩家 all-in，且其他玩家在該手牌中已不可能再有任何下注行動時，必須立即開牌（不要等到 showdown、也不要等邊池先分完）。,0,攤牌/底池
要求看牌（Paid to see）權利,2026年1月26日,TDA補充,TDA Rule 18-B；教材第四章 5「玩家亮牌的權利」概念,150,No,什麼情況下，跟注者有權要求最後進攻者亮牌（付錢看牌）？,"若河牌有人下注，任何跟注最後進攻者且自己保留/已攤牌的玩家，有不可剝奪權利要求「最後進攻者」亮牌。
若自己已蓋牌且未攤牌，通常失去要求權利。",0,攤牌/底池
延遲報名/候補入座：SB～BTN 之間怎麼辦？,2026年1月26日,場館規章優先,教材第八章 1（引用 TDA 概念）；場館優先,60,No,新加入（延遲報名/候補）玩家若分到 SB 與 BTN 之間，通常怎麼處理？,多數情況下需要等下一手牌才能領牌參與（避免閃盲/影響公平）。,0,進出座位
